GEOID,NAME,state_name,race_total,white_non_hispanic,black_alone,asian_alone,hispanic_latino
34001000100,Census Tract 1; Atlantic County; New Jersey,New Jersey,2345,542,307,731,742
34001000200,Census Tract 2; Atlantic County; New Jersey,New Jersey,3386,1025,49,835,1396
34001000300,Census Tract 3; Atlantic County; New Jersey,New Jersey,4092,479,296,1203,1988
34001000400,Census Tract 4; Atlantic County; New Jersey,New Jersey,3602,1009,130,965,1239
34001000500,Census Tract 5; Atlantic County; New Jersey,New Jersey,3042,245,187,1191,1267
34001001100,Census Tract 11; Atlantic County; New Jersey,New Jersey,1787,108,1441,62,166
34001001200,Census Tract 12; Atlantic County; New Jersey,New Jersey,2359,105,1823,110,294
34001001300,Census Tract 13; Atlantic County; New Jersey,New Jersey,1826,88,1186,0,362
34001001400,Census Tract 14; Atlantic County; New Jersey,New Jersey,3664,325,1393,1,1591
34001001500,Census Tract 15; Atlantic County; New Jersey,New Jersey,1334,126,747,144,291
34001001900,Census Tract 19; Atlantic County; New Jersey,New Jersey,1617,428,884,49,220
34001002300,Census Tract 23; Atlantic County; New Jersey,New Jersey,2816,251,139,649,1623
34001002400,Census Tract 24; Atlantic County; New Jersey,New Jersey,2844,554,1006,80,1026
34001002500,Census Tract 25; Atlantic County; New Jersey,New Jersey,3773,708,1922,147,662
34001010101,Census Tract 101.01; Atlantic County; New Jersey,New Jersey,3329,2806,1,181,275
34001010102,Census Tract 101.02; Atlantic County; New Jersey,New Jersey,1416,1321,19,0,41
34001010104,Census Tract 101.04; Atlantic County; New Jersey,New Jersey,1073,945,25,24,49
34001010105,Census Tract 101.05; Atlantic County; New Jersey,New Jersey,1966,1319,20,341,239
34001010200,Census Tract 102; Atlantic County; New Jersey,New Jersey,6548,5278,330,9,817
34001010300,Census Tract 103; Atlantic County; New Jersey,New Jersey,2538,1003,416,286,681
34001010401,Census Tract 104.01; Atlantic County; New Jersey,New Jersey,5636,4692,502,0,385
34001010403,Census Tract 104.03; Atlantic County; New Jersey,New Jersey,8573,2869,1215,1714,1997
34001010501,Census Tract 105.01; Atlantic County; New Jersey,New Jersey,7283,6229,150,98,499
34001010503,Census Tract 105.03; Atlantic County; New Jersey,New Jersey,6577,2681,1033,386,1668
34001010505,Census Tract 105.05; Atlantic County; New Jersey,New Jersey,3044,2514,33,82,340
34001010506,Census Tract 105.06; Atlantic County; New Jersey,New Jersey,4712,3640,124,364,469
34001010600,Census Tract 106; Atlantic County; New Jersey,New Jersey,4376,1921,1034,32,1246
34001010700,Census Tract 107; Atlantic County; New Jersey,New Jersey,5820,4966,393,0,302
34001010800,Census Tract 108; Atlantic County; New Jersey,New Jersey,3091,2380,142,15,530
34001010900,Census Tract 109; Atlantic County; New Jersey,New Jersey,5754,3868,61,167,1613
34001011000,Census Tract 110; Atlantic County; New Jersey,New Jersey,2807,2218,63,0,523
34001011100,Census Tract 111; Atlantic County; New Jersey,New Jersey,3080,2077,4,18,971
34001011201,Census Tract 112.01; Atlantic County; New Jersey,New Jersey,1761,1521,10,0,181
34001011202,Census Tract 112.02; Atlantic County; New Jersey,New Jersey,7068,4950,504,155,1177
34001011300,Census Tract 113; Atlantic County; New Jersey,New Jersey,4504,2564,178,395,1235
34001011401,Census Tract 114.01; Atlantic County; New Jersey,New Jersey,4638,3363,187,40,524
34001011403,Census Tract 114.03; Atlantic County; New Jersey,New Jersey,6195,3965,794,509,684
34001011404,Census Tract 114.04; Atlantic County; New Jersey,New Jersey,10009,5521,1507,649,1366
34001011500,Census Tract 115; Atlantic County; New Jersey,New Jersey,6828,4486,872,205,694
34001011600,Census Tract 116; Atlantic County; New Jersey,New Jersey,5066,4161,282,41,420
34001011702,Census Tract 117.02; Atlantic County; New Jersey,New Jersey,3827,1344,563,133,1593
34001011703,Census Tract 117.03; Atlantic County; New Jersey,New Jersey,5021,1957,281,1838,772
34001011704,Census Tract 117.04; Atlantic County; New Jersey,New Jersey,4506,2203,424,1215,401
34001011803,Census Tract 118.03; Atlantic County; New Jersey,New Jersey,5371,2952,873,138,1061
34001011804,Census Tract 118.04; Atlantic County; New Jersey,New Jersey,7378,4577,358,434,1406
34001011805,Census Tract 118.05; Atlantic County; New Jersey,New Jersey,2485,1835,72,29,378
34001011806,Census Tract 118.06; Atlantic County; New Jersey,New Jersey,8392,5285,829,1128,685
34001011807,Census Tract 118.07; Atlantic County; New Jersey,New Jersey,5622,3674,584,590,481
34001011808,Census Tract 118.08; Atlantic County; New Jersey,New Jersey,3860,1768,426,417,771
34001011901,Census Tract 119.01; Atlantic County; New Jersey,New Jersey,3821,116,1004,0,2584
34001011902,Census Tract 119.02; Atlantic County; New Jersey,New Jersey,4532,620,1675,182,1575
