GEOID,NAME,state_name,poverty_universe_total,below_50pct_poverty,50_to_99pct_poverty
36001000100,Census Tract 1; Albany County; New York,New York,2251,238,403
36001000201,Census Tract 2.01; Albany County; New York,New York,2465,358,396
36001000202,Census Tract 2.02; Albany County; New York,New York,2369,691,77
36001000301,Census Tract 3.01; Albany County; New York,New York,2837,513,408
36001000302,Census Tract 3.02; Albany County; New York,New York,3151,176,462
36001000401,Census Tract 4.01; Albany County; New York,New York,1871,81,73
36001000403,Census Tract 4.03; Albany County; New York,New York,4348,417,314
36001000404,Census Tract 4.04; Albany County; New York,New York,23,0,0
36001000501,Census Tract 5.01; Albany County; New York,New York,3440,961,850
36001000502,Census Tract 5.02; Albany County; New York,New York,1992,410,266
36001000600,Census Tract 6; Albany County; New York,New York,3352,1150,566
36001000700,Census Tract 7; Albany County; New York,New York,3567,157,978
36001000800,Census Tract 8; Albany County; New York,New York,1800,157,512
36001001100,Census Tract 11; Albany County; New York,New York,2117,367,390
36001001400,Census Tract 14; Albany County; New York,New York,4054,347,219
36001001500,Census Tract 15; Albany County; New York,New York,5186,1271,727
36001001600,Census Tract 16; Albany County; New York,New York,4319,522,234
36001001700,Census Tract 17; Albany County; New York,New York,4107,209,161
36001001802,Census Tract 18.02; Albany County; New York,New York,4042,292,292
36001001803,Census Tract 18.03; Albany County; New York,New York,3608,117,31
36001001804,Census Tract 18.04; Albany County; New York,New York,3462,232,140
36001001901,Census Tract 19.01; Albany County; New York,New York,2523,111,7
36001001902,Census Tract 19.02; Albany County; New York,New York,2470,40,51
36001002000,Census Tract 20; Albany County; New York,New York,6547,199,701
36001002100,Census Tract 21; Albany County; New York,New York,2445,575,245
36001002200,Census Tract 22; Albany County; New York,New York,2409,114,307
36001002300,Census Tract 23; Albany County; New York,New York,1971,480,135
36001002500,Census Tract 25; Albany County; New York,New York,3055,712,494
36001002600,Census Tract 26; Albany County; New York,New York,4694,323,458
36001012700,Census Tract 127; Albany County; New York,New York,3447,226,430
36001012800,Census Tract 128; Albany County; New York,New York,3975,1194,533
36001012900,Census Tract 129; Albany County; New York,New York,3491,340,336
36001013000,Census Tract 130; Albany County; New York,New York,6263,294,6
36001013100,Census Tract 131; Albany County; New York,New York,2959,171,599
36001013200,Census Tract 132; Albany County; New York,New York,3492,633,498
36001013300,Census Tract 133; Albany County; New York,New York,3982,387,137
36001013400,Census Tract 134; Albany County; New York,New York,2849,303,129
36001013503,Census Tract 135.03; Albany County; New York,New York,5440,169,143
36001013505,Census Tract 135.05; Albany County; New York,New York,2850,186,105
36001013507,Census Tract 135.07; Albany County; New York,New York,2233,228,36
36001013509,Census Tract 135.09; Albany County; New York,New York,3396,32,49
36001013510,Census Tract 135.10; Albany County; New York,New York,3556,30,143
36001013511,Census Tract 135.11; Albany County; New York,New York,3592,55,47
36001013512,Census Tract 135.12; Albany County; New York,New York,3658,81,39
36001013602,Census Tract 136.02; Albany County; New York,New York,4512,202,68
36001013603,Census Tract 136.03; Albany County; New York,New York,3218,75,0
36001013604,Census Tract 136.04; Albany County; New York,New York,5014,58,374
36001013703,Census Tract 137.03; Albany County; New York,New York,1623,38,169
36001013706,Census Tract 137.06; Albany County; New York,New York,2113,4,60
36001013707,Census Tract 137.07; Albany County; New York,New York,5813,258,60
36001013708,Census Tract 137.08; Albany County; New York,New York,3251,61,52
36001013709,Census Tract 137.09; Albany County; New York,New York,2902,38,22
36001013802,Census Tract 138.02; Albany County; New York,New York,4441,113,94
36001013803,Census Tract 138.03; Albany County; New York,New York,3747,272,269
36001013804,Census Tract 138.04; Albany County; New York,New York,4004,176,56
36001013901,Census Tract 139.01; Albany County; New York,New York,2363,41,40
36001013902,Census Tract 139.02; Albany County; New York,New York,5404,200,149
36001014001,Census Tract 140.01; Albany County; New York,New York,3562,51,322
36001014002,Census Tract 140.02; Albany County; New York,New York,5567,119,353
36001014100,Census Tract 141; Albany County; New York,New York,5760,93,24
36001014201,Census Tract 142.01; Albany County; New York,New York,5729,178,27
36001014202,Census Tract 142.02; Albany County; New York,New York,6234,118,103
36001014203,Census Tract 142.03; Albany County; New York,New York,6209,129,3
36001014301,Census Tract 143.01; Albany County; New York,New York,2989,448,79
36001014303,Census Tract 143.03; Albany County; New York,New York,4886,95,38
36001014304,Census Tract 143.04; Albany County; New York,New York,3091,192,28
