GEOID,NAME,state_name,median_household_income
36001000100,Census Tract 1; Albany County; New York,New York,44547
36001000201,Census Tract 2.01; Albany County; New York,New York,33688
36001000202,Census Tract 2.02; Albany County; New York,New York,32585
36001000301,Census Tract 3.01; Albany County; New York,New York,43214
36001000302,Census Tract 3.02; Albany County; New York,New York,50875
36001000401,Census Tract 4.01; Albany County; New York,New York,76641
36001000403,Census Tract 4.03; Albany County; New York,New York,77468
36001000404,Census Tract 4.04; Albany County; New York,New York,108750
36001000501,Census Tract 5.01; Albany County; New York,New York,16585
36001000502,Census Tract 5.02; Albany County; New York,New York,60174
36001000600,Census Tract 6; Albany County; New York,New York,22417
36001000700,Census Tract 7; Albany County; New York,New York,44811
36001000800,Census Tract 8; Albany County; New York,New York,29188
36001001100,Census Tract 11; Albany County; New York,New York,46701
36001001400,Census Tract 14; Albany County; New York,New York,63211
36001001500,Census Tract 15; Albany County; New York,New York,37384
36001001600,Census Tract 16; Albany County; New York,New York,59795
36001001700,Census Tract 17; Albany County; New York,New York,80965
36001001802,Census Tract 18.02; Albany County; New York,New York,63942
36001001803,Census Tract 18.03; Albany County; New York,New York,105972
36001001804,Census Tract 18.04; Albany County; New York,New York,101898
36001001901,Census Tract 19.01; Albany County; New York,New York,85611
36001001902,Census Tract 19.02; Albany County; New York,New York,94550
36001002000,Census Tract 20; Albany County; New York,New York,72370
36001002100,Census Tract 21; Albany County; New York,New York,36569
36001002200,Census Tract 22; Albany County; New York,New York,42941
36001002300,Census Tract 23; Albany County; New York,New York,41949
36001002500,Census Tract 25; Albany County; New York,New York,31115
36001002600,Census Tract 26; Albany County; New York,New York,64359
36001012700,Census Tract 127; Albany County; New York,New York,73266
36001012800,Census Tract 128; Albany County; New York,New York,37748
36001012900,Census Tract 129; Albany County; New York,New York,59347
36001013000,Census Tract 130; Albany County; New York,New York,82197
36001013100,Census Tract 131; Albany County; New York,New York,64018
36001013200,Census Tract 132; Albany County; New York,New York,45688
36001013300,Census Tract 133; Albany County; New York,New York,42451
36001013400,Census Tract 134; Albany County; New York,New York,64653
36001013503,Census Tract 135.03; Albany County; New York,New York,99178
36001013505,Census Tract 135.05; Albany County; New York,New York,90920
36001013507,Census Tract 135.07; Albany County; New York,New York,77266
36001013509,Census Tract 135.09; Albany County; New York,New York,92500
36001013510,Census Tract 135.10; Albany County; New York,New York,98750
36001013511,Census Tract 135.11; Albany County; New York,New York,138155
36001013512,Census Tract 135.12; Albany County; New York,New York,109010
36001013602,Census Tract 136.02; Albany County; New York,New York,73000
36001013603,Census Tract 136.03; Albany County; New York,New York,89934
36001013604,Census Tract 136.04; Albany County; New York,New York,106747
36001013703,Census Tract 137.03; Albany County; New York,New York,100242
36001013706,Census Tract 137.06; Albany County; New York,New York,166923
36001013707,Census Tract 137.07; Albany County; New York,New York,117386
36001013708,Census Tract 137.08; Albany County; New York,New York,90200
36001013709,Census Tract 137.09; Albany County; New York,New York,118621
36001013802,Census Tract 138.02; Albany County; New York,New York,119000
36001013803,Census Tract 138.03; Albany County; New York,New York,70380
36001013804,Census Tract 138.04; Albany County; New York,New York,79261
36001013901,Census Tract 139.01; Albany County; New York,New York,92250
36001013902,Census Tract 139.02; Albany County; New York,New York,101122
36001014001,Census Tract 140.01; Albany County; New York,New York,78026
36001014002,Census Tract 140.02; Albany County; New York,New York,80823
36001014100,Census Tract 141; Albany County; New York,New York,97120
36001014201,Census Tract 142.01; Albany County; New York,New York,132656
36001014202,Census Tract 142.02; Albany County; New York,New York,123144
36001014203,Census Tract 142.03; Albany County; New York,New York,143916
36001014301,Census Tract 143.01; Albany County; New York,New York,76505
36001014303,Census Tract 143.03; Albany County; New York,New York,144795
36001014304,Census Tract 143.04; Albany County; New York,New York,89653
36001014401,Census Tract 144.01; Albany County; New York,New York,92269
36001014402,Census Tract 144.02; Albany County; New York,New York,68873
36001014501,Census Tract 145.01; Albany County; New York,New York,116484
36001014502,Census Tract 145.02; Albany County; New York,New York,114315
36001014503,Census Tract 145.03; Albany County; New York,New York,102885
36001014606,Census Tract 146.06; Albany County; New York,New York,129338
36001014608,Census Tract 146.08; Albany County; New York,New York,77244
36001014609,Census Tract 146.09; Albany County; New York,New York,84555
36001014611,Census Tract 146.11; Albany County; New York,New York,118182
36001014612,Census Tract 146.12; Albany County; New York,New York,104350
36001014613,Census Tract 146.13; Albany County; New York,New York,92256
36001014614,Census Tract 146.14; Albany County; New York,New York,92037
36001014615,Census Tract 146.15; Albany County; New York,New York,91890
36001014616,Census Tract 146.16; Albany County; New York,New York,135795
36001014617,Census Tract 146.17; Albany County; New York,New York,136103
36001014700,Census Tract 147; Albany County; New York,New York,112500
36001014801,Census Tract 148.01; Albany County; New York,New York,75595
36001014802,Census Tract 148.02; Albany County; New York,New York,95673
36001014803,Census Tract 148.03; Albany County; New York,New York,83220
36003940200,Census Tract 9402; Allegany County; New York,New York,-666666666
36003950100,Census Tract 9501; Allegany County; New York,New York,63636
36003950300,Census Tract 9503; Allegany County; New York,New York,74028
36003950401,Census Tract 9504.01; Allegany County; New York,New York,61813
36003950402,Census Tract 9504.02; Allegany County; New York,New York,58472
36003950500,Census Tract 9505; Allegany County; New York,New York,61318
36003950600,Census Tract 9506; Allegany County; New York,New York,51111
36003950700,Census Tract 9507; Allegany County; New York,New York,54776
36003950800,Census Tract 9508; Allegany County; New York,New York,63750
36003950900,Census Tract 9509; Allegany County; New York,New York,49598
36003951000,Census Tract 9510; Allegany County; New York,New York,65144
36003951100,Census Tract 9511; Allegany County; New York,New York,58686
36003951201,Census Tract 9512.01; Allegany County; New York,New York,45375
36003951202,Census Tract 9512.02; Allegany County; New York,New York,54276
36003951301,Census Tract 9513.01; Allegany County; New York,New York,56702
36003951302,Census Tract 9513.02; Allegany County; New York,New York,59917
36005000100,Census Tract 1; Bronx County; New York,New York,-666666666
36005000200,Census Tract 2; Bronx County; New York,New York,115064
36005000400,Census Tract 4; Bronx County; New York,New York,100553
36005001600,Census Tract 16; Bronx County; New York,New York,41362
36005001901,Census Tract 19.01; Bronx County; New York,New York,49500
36005001902,Census Tract 19.02; Bronx County; New York,New York,67375
36005001903,Census Tract 19.03; Bronx County; New York,New York,-666666666
36005001904,Census Tract 19.04; Bronx County; New York,New York,-666666666
36005002001,Census Tract 20.01; Bronx County; New York,New York,24684
36005002002,Census Tract 20.02; Bronx County; New York,New York,-666666666
36005002300,Census Tract 23; Bronx County; New York,New York,19743
36005002400,Census Tract 24; Bronx County; New York,New York,-666666666
36005002500,Census Tract 25; Bronx County; New York,New York,27378
36005002701,Census Tract 27.01; Bronx County; New York,New York,21427
36005002702,Census Tract 27.02; Bronx County; New York,New York,29206
36005002800,Census Tract 28; Bronx County; New York,New York,64308
36005003100,Census Tract 31; Bronx County; New York,New York,41370
36005003300,Census Tract 33; Bronx County; New York,New York,24122
36005003500,Census Tract 35; Bronx County; New York,New York,34185
36005003700,Census Tract 37; Bronx County; New York,New York,-666666666
36005003800,Census Tract 38; Bronx County; New York,New York,88077
36005003900,Census Tract 39; Bronx County; New York,New York,20640
36005004001,Census Tract 40.01; Bronx County; New York,New York,70536
36005004100,Census Tract 41; Bronx County; New York,New York,27328
36005004200,Census Tract 42; Bronx County; New York,New York,52423
36005004300,Census Tract 43; Bronx County; New York,New York,34890
36005004400,Census Tract 44; Bronx County; New York,New York,17319
36005004600,Census Tract 46; Bronx County; New York,New York,17083
36005004800,Census Tract 48; Bronx County; New York,New York,34436
36005005001,Census Tract 50.01; Bronx County; New York,New York,34087
36005005002,Census Tract 50.02; Bronx County; New York,New York,36598
36005005100,Census Tract 51; Bronx County; New York,New York,22850
36005005200,Census Tract 52; Bronx County; New York,New York,29657
36005005300,Census Tract 53; Bronx County; New York,New York,26437
36005005400,Census Tract 54; Bronx County; New York,New York,48750
36005005600,Census Tract 56; Bronx County; New York,New York,39572
36005005902,Census Tract 59.02; Bronx County; New York,New York,48456
36005006000,Census Tract 60; Bronx County; New York,New York,47375
36005006100,Census Tract 61; Bronx County; New York,New York,66430
36005006200,Census Tract 62; Bronx County; New York,New York,30236
36005006301,Census Tract 63.01; Bronx County; New York,New York,55396
36005006302,Census Tract 63.02; Bronx County; New York,New York,-666666666
36005006400,Census Tract 64; Bronx County; New York,New York,24730
36005006500,Census Tract 65; Bronx County; New York,New York,22985
36005006700,Census Tract 67; Bronx County; New York,New York,17390
36005006800,Census Tract 68; Bronx County; New York,New York,29844
36005006900,Census Tract 69; Bronx County; New York,New York,29627
36005007000,Census Tract 70; Bronx County; New York,New York,57905
36005007100,Census Tract 71; Bronx County; New York,New York,44792
36005007200,Census Tract 72; Bronx County; New York,New York,63449
36005007300,Census Tract 73; Bronx County; New York,New York,28166
36005007400,Census Tract 74; Bronx County; New York,New York,53166
36005007500,Census Tract 75; Bronx County; New York,New York,34484
36005007600,Census Tract 76; Bronx County; New York,New York,53784
36005007700,Census Tract 77; Bronx County; New York,New York,48846
36005007800,Census Tract 78; Bronx County; New York,New York,61328
36005007900,Census Tract 79; Bronx County; New York,New York,34604
36005008300,Census Tract 83; Bronx County; New York,New York,50920
36005008400,Census Tract 84; Bronx County; New York,New York,67724
36005008500,Census Tract 85; Bronx County; New York,New York,34543
36005008600,Census Tract 86; Bronx County; New York,New York,23987
36005008700,Census Tract 87; Bronx County; New York,New York,36402
36005008900,Census Tract 89; Bronx County; New York,New York,41484
36005009000,Census Tract 90; Bronx County; New York,New York,33831
36005009200,Census Tract 92; Bronx County; New York,New York,56208
36005009301,Census Tract 93.01; Bronx County; New York,New York,47185
36005009302,Census Tract 93.02; Bronx County; New York,New York,-666666666
36005009600,Census Tract 96; Bronx County; New York,New York,53333
36005009800,Census Tract 98; Bronx County; New York,New York,56128
36005011000,Census Tract 110; Bronx County; New York,New York,-666666666
36005011502,Census Tract 115.02; Bronx County; New York,New York,28592
36005011701,Census Tract 117.01; Bronx County; New York,New York,33967
36005011702,Census Tract 117.02; Bronx County; New York,New York,-666666666
