GEOID,NAME,state_name,race_total,white_non_hispanic,black_alone,asian_alone,hispanic_latino
36001000100,Census Tract 1; Albany County; New York,New York,2259,725,982,30,346
36001000201,Census Tract 2.01; Albany County; New York,New York,2465,372,1742,102,174
36001000202,Census Tract 2.02; Albany County; New York,New York,2374,317,1952,0,45
36001000301,Census Tract 3.01; Albany County; New York,New York,2837,678,1271,4,673
36001000302,Census Tract 3.02; Albany County; New York,New York,3200,1963,538,139,183
36001000401,Census Tract 4.01; Albany County; New York,New York,2301,2012,134,18,98
36001000403,Census Tract 4.03; Albany County; New York,New York,4348,3002,602,411,154
36001000404,Census Tract 4.04; Albany County; New York,New York,5126,2569,1007,308,981
36001000501,Census Tract 5.01; Albany County; New York,New York,3471,992,1291,193,594
36001000502,Census Tract 5.02; Albany County; New York,New York,3788,2101,635,385,398
36001000600,Census Tract 6; Albany County; New York,New York,3352,922,1046,975,321
36001000700,Census Tract 7; Albany County; New York,New York,3733,449,2314,55,248
36001000800,Census Tract 8; Albany County; New York,New York,1800,134,1126,70,200
36001001100,Census Tract 11; Albany County; New York,New York,2143,1233,686,18,151
36001001400,Census Tract 14; Albany County; New York,New York,4054,2923,351,305,271
36001001500,Census Tract 15; Albany County; New York,New York,5198,3121,942,529,397
36001001600,Census Tract 16; Albany County; New York,New York,4759,2588,678,561,418
36001001700,Census Tract 17; Albany County; New York,New York,4223,2711,865,404,128
36001001802,Census Tract 18.02; Albany County; New York,New York,4042,3181,542,90,105
36001001803,Census Tract 18.03; Albany County; New York,New York,3608,3133,85,156,83
36001001804,Census Tract 18.04; Albany County; New York,New York,3522,2459,443,283,304
36001001901,Census Tract 19.01; Albany County; New York,New York,2531,2139,75,168,60
36001001902,Census Tract 19.02; Albany County; New York,New York,2470,1783,190,233,144
36001002000,Census Tract 20; Albany County; New York,New York,6576,2846,1460,570,1562
36001002100,Census Tract 21; Albany County; New York,New York,3317,1932,340,454,239
36001002200,Census Tract 22; Albany County; New York,New York,2409,1773,326,116,164
36001002300,Census Tract 23; Albany County; New York,New York,1971,476,846,192,390
36001002500,Census Tract 25; Albany County; New York,New York,3062,500,1622,220,490
36001002600,Census Tract 26; Albany County; New York,New York,4753,1435,2108,128,586
36001012700,Census Tract 127; Albany County; New York,New York,3464,2542,238,62,98
36001012800,Census Tract 128; Albany County; New York,New York,3975,2071,454,186,290
36001012900,Census Tract 129; Albany County; New York,New York,3491,2441,396,125,432
36001013000,Census Tract 130; Albany County; New York,New York,7030,6454,186,30,243
36001013100,Census Tract 131; Albany County; New York,New York,2968,2106,161,27,404
36001013200,Census Tract 132; Albany County; New York,New York,3492,2058,602,110,346
36001013300,Census Tract 133; Albany County; New York,New York,3984,2870,274,239,570
36001013400,Census Tract 134; Albany County; New York,New York,2849,2228,333,136,105
