CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP1_20,LALOWI1_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lapop1,lapop1share,lalowi1,lalowi1share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractHispanic,TractHUNV,TractSNAP
36001000100,New York,Albany County,1,2139,784,0,1,1,1,1,1,1,32.5,45515.0,1,1,1,1,1,0,0,1,2139.0,2139.0,1246.0,1246.0,2139.0,100.0,1246.0,58.26,2139.0,100.0,1246.0,58.26,1183.0,644.0,218.0,506.0,1396.0,55.0,198.0,179.0,276.0
36001000200,New York,Albany County,1,6046,2514,0,1,1,1,1,1,1,34.4,39545.0,1,1,1,1,1,0,0,1,2981.0,2981.0,2042.0,2042.0,5948.0,98.38,3389.0,56.05,2981.0,49.31,2042.0,33.77,2501.0,1946.0,401.0,840.0,4647.0,57.0,648.0,895.0,960.0
36001000300,New York,Albany County,1,5888,2581,0,1,1,1,1,1,1,27.0,45384.0,1,1,1,1,1,0,0,1,1151.0,1151.0,189.0,189.0,2847.0,48.36,1013.0,17.2,1151.0,19.55,189.0,3.21,3006.0,1297.0,859.0,2941.0,2199.0,213.0,615.0,708.0,554.0
36001000401,New York,Albany County,1,2227,1017,0,0,0,0,0,1,0,7.7,99514.0,1,1,1,1,1,0,0,1,505.0,505.0,111.0,111.0,1522.0,68.35,334.0,15.0,505.0,22.67,111.0,4.97,445.0,149.0,1088.0,1921.0,205.0,56.0,53.0,139.0,5.0
36001000403,New York,Albany County,1,4415,2196,0,0,0,0,0,1,0,12.3,115391.0,0,1,0,1,0,0,0,1,371.0,371.0,87.0,87.0,1429.0,32.36,259.0,5.86,371.0,8.41,87.0,1.96,865.0,531.0,679.0,3386.0,427.0,443.0,201.0,437.0,286.0
36001000404,New York,Albany County,1,5203,12,1,0,0,0,0,0,0,0.0,,1,1,1,1,1,0,0,0,1708.0,1708.0,0.0,0.0,5203.0,100.0,0.0,0.0,1708.0,32.82,0.0,0.0,0.0,10.0,5.0,3594.0,777.0,376.0,647.0,0.0,0.0
36001000501,New York,Albany County,1,3412,1559,0,0,0,0,0,0,1,27.3,52031.0,0,0,0,0,0,0,0,0,,,,,140.0,4.12,92.0,2.71,,,,,1684.0,685.0,320.0,1800.0,1115.0,149.0,377.0,613.0,645.0
36001000502,New York,Albany County,1,3448,872,0,0,1,0,0,0,1,21.8,84224.0,0,1,0,1,0,0,0,0,,,,,939.0,27.24,608.0,17.63,,,,,607.0,358.0,148.0,2563.0,477.0,223.0,276.0,119.0,71.0
36001000600,New York,Albany County,1,3676,1409,0,0,1,0,1,1,1,46.3,42769.0,0,1,0,1,0,0,0,1,,,,,3542.0,96.35,2644.0,71.93,,,,,2762.0,783.0,141.0,1586.0,1339.0,310.0,419.0,590.0,670.0
36001000700,New York,Albany County,1,3821,1413,0,0,1,0,1,1,1,34.1,31305.0,0,1,0,1,0,0,0,1,138.0,138.0,71.0,71.0,3821.0,100.0,2346.0,61.39,138.0,3.62,71.0,1.86,2272.0,1273.0,302.0,455.0,2990.0,23.0,383.0,532.0,521.0
36001000800,New York,Albany County,1,2393,1015,0,0,1,0,1,1,1,44.9,26707.0,0,1,0,1,0,0,0,1,,,,,1957.0,81.8,1506.0,62.92,,,,,1642.0,642.0,268.0,665.0,1427.0,54.0,330.0,528.0,476.0
36001001100,New York,Albany County,1,1169,705,0,0,1,0,1,1,1,36.8,45104.0,0,1,0,1,0,0,0,1,137.0,137.0,84.0,84.0,1102.0,94.26,681.0,58.25,137.0,11.69,84.0,7.22,948.0,124.0,208.0,462.0,510.0,88.0,127.0,475.0,357.0
36001001400,New York,Albany County,1,3560,2404,0,0,0,0,0,0,0,19.5,81528.0,0,0,0,0,0,0,0,0,,,,,44.0,1.25,18.0,0.49,,,,,1466.0,178.0,272.0,2863.0,353.0,155.0,216.0,1002.0,283.0
36001001500,New York,Albany County,1,4606,2228,0,0,1,0,1,1,1,26.3,42568.0,0,1,0,1,0,0,0,1,,,,,4144.0,89.96,2400.0,52.1,,,,,2618.0,386.0,355.0,3364.0,657.0,318.0,308.0,682.0,466.0
36001001600,New York,Albany County,1,4273,1768,0,0,1,0,0,0,1,26.4,102763.0,0,1,0,1,0,0,0,0,,,,,2141.0,50.11,706.0,16.53,,,,,1523.0,565.0,284.0,3267.0,543.0,210.0,291.0,255.0,183.0
36001001700,New York,Albany County,1,4021,1824,0,0,0,0,0,0,0,13.7,89554.0,0,1,0,1,0,0,0,0,120.0,120.0,36.0,36.0,1827.0,45.45,434.0,10.79,120.0,2.97,36.0,0.89,1313.0,602.0,521.0,3088.0,496.0,229.0,235.0,329.0,255.0
36001001801,New York,Albany County,1,6579,3246,0,0,0,0,0,1,0,5.0,134509.0,1,1,1,1,1,0,0,1,4449.0,4449.0,963.0,963.0,6543.0,99.45,1270.0,19.31,4449.0,67.63,963.0,14.63,1287.0,903.0,1605.0,5684.0,435.0,330.0,213.0,324.0,119.0
36001001802,New York,Albany County,1,3816,1973,0,0,0,0,0,1,0,11.3,81406.0,1,1,1,1,1,0,0,1,3576.0,3576.0,826.0,826.0,3816.0,100.0,874.0,22.91,3576.0,93.7,826.0,21.64,984.0,478.0,844.0,3176.0,291.0,211.0,132.0,142.0,187.0
36001001901,New York,Albany County,1,2607,1148,0,0,0,0,0,0,0,8.0,114258.0,0,1,0,1,0,0,0,0,33.0,33.0,2.0,2.0,2607.0,100.0,282.0,10.81,33.0,1.25,2.0,0.08,295.0,411.0,336.0,2237.0,197.0,76.0,106.0,40.0,37.0
36001001902,New York,Albany County,1,2581,1131,0,0,0,0,0,0,0,7.3,92946.0,0,1,0,1,0,0,0,0,410.0,410.0,50.0,50.0,1652.0,63.99,219.0,8.48,410.0,15.9,50.0,1.92,332.0,483.0,465.0,2110.0,252.0,134.0,103.0,38.0,36.0
36001002000,New York,Albany County,1,5771,2414,0,0,1,0,0,0,1,22.6,50170.0,0,1,0,1,0,0,0,0,,,,,1119.0,19.38,526.0,9.11,,,,,2430.0,1317.0,533.0,2906.0,1998.0,268.0,671.0,504.0,321.0
36001002100,New York,Albany County,1,3773,1251,0,0,1,0,0,0,1,26.0,64625.0,0,1,0,1,0,0,0,0,,,,,1166.0,30.91,408.0,10.82,,,,,953.0,640.0,140.0,2168.0,854.0,496.0,230.0,353.0,270.0
36001002200,New York,Albany County,1,2344,1366,0,0,0,0,0,0,1,19.4,57109.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1091.0,310.0,153.0,1472.0,604.0,116.0,201.0,509.0,278.0
36001002300,New York,Albany County,1,2051,1020,0,0,1,0,1,1,1,34.7,62545.0,0,1,0,1,0,0,0,1,,,,,2049.0,99.89,1203.0,58.67,,,,,1249.0,464.0,155.0,701.0,1076.0,62.0,254.0,405.0,408.0
